tournament_id, tournament_name, region, major
39,"GSL 2012 Season 5 Code S","KR",true
61,"GSL 2012 Season 5 Up & Down","KR",false
57,"GSL 2012 Season 5 Code A","KR",false
67,"GSL 2013 Season 1 Up & Down","KR",false
74,"GSL 2013 Season 1 Code A","KR",false
75,"GSL 2013 Season 1 Code S","KR",true
77,"GSL 2012 Season 4 Up & Down","KR",false
78,"GSL 2012 Season 4 Code A","KR",false
79,"GSL 2012 Season 4 Code S","KR",true
128,"GSL 2012 Season 3 Up & Down","KR",false
129,"GSL 2012 Season 3 Code A","KR",false
130,"GSL 2012 Season 3 Code S","KR",true
157,"GSL 2012 Season 2 Up & Down","KR",false
163,"GSL 2012 Season 2 Code A","KR",false
167,"GSL 2012 Season 2 Code S","KR",true
186,"GSL 2012 Season 1 Up & Down","KR",false